EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-10-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CZECH REPUBLIC, PRAHA-KLEMENTINUM (STAID: 27).
Blended and updated with sources: 100082 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100082,18051223,  106,    0
100082,18051224,    0,    0
100082,18051225,    0,    0
100082,18051226,    0,    0
100082,18051227,   11,    0
100082,18051228,    3,    0
100082,18051229,    0,    0
100082,18051230,   34,    0
100082,18051231,   19,    0
100082,18060101,-9999,    9
100082,18060102,-9999,    9
100082,18060103,-9999,    9
100082,18060104,-9999,    9
100082,18060105,-9999,    9
100082,18060106,-9999,    9
100082,18060107,-9999,    9
100082,18060108,-9999,    9
100082,18060109,-9999,    9
100082,18060110,-9999,    9
100082,18060111,-9999,    9
100082,18060112,-9999,    9
100082,18060113,-9999,    9
100082,18060114,-9999,    9
100082,18060115,-9999,    9
100082,18060116,-9999,    9
100082,18060117,-9999,    9
100082,18060118,-9999,    9
100082,18060119,-9999,    9
100082,18060120,-9999,    9
100082,18060121,-9999,    9
100082,18060122,-9999,    9
100082,18060123,-9999,    9
100082,18060124,-9999,    9
100082,18060125,-9999,    9
100082,18060126,-9999,    9
100082,18060127,-9999,    9
100082,18060128,-9999,    9
100082,18060129,-9999,    9
100082,18060130,-9999,    9
100082,18060131,-9999,    9
100082,18060201,   58,    0
100082,18060202,  212,    0
100082,18060203,   45,    0
100082,18060204,    8,    0
100082,18060205,    0,    0
100082,18060206,    5,    0
100082,18060207,    0,    0
100082,18060208,   13,    0
100082,18060209,    0,    0
100082,18060210,   16,    0
100082,18060211,    0,    0
100082,18060212,    8,    0
100082,18060213,    0,    0
100082,18060214,   21,    0
100082,18060215,    0,    0
100082,18060216,    0,    0
100082,18060217,    0,    0
100082,18060218,    0,    0
100082,18060219,    0,    0
100082,18060220,    0,    0
100082,18060221,    0,    0
100082,18060222,    0,    0
100082,18060223,    0,    0
100082,18060224,    0,    0
100082,18060225,    0,    0
